,ds,y
144791,2017-07-23,194
103156,2017-07-24,194
126723,2017-07-25,196
149120,2017-07-26,196
101383,2017-07-27,196
52083,2017-07-28,195
109208,2017-07-30,195
36360,2017-07-31,196
113198,2017-08-01,199
36410,2017-08-02,200
22480,2017-08-03,201
126320,2017-08-04,201
101386,2017-08-05,201
137485,2017-08-06,201
22484,2017-08-07,202
126362,2017-08-08,204
106164,2017-08-09,205
105917,2017-08-10,205
21840,2017-08-11,205
22759,2017-08-12,205
145005,2017-08-13,206
103633,2017-08-14,207
125099,2017-08-15,207
127789,2017-08-16,207
158862,2017-08-17,207
125343,2017-08-18,208
151319,2017-08-19,208
119081,2017-08-20,208
103881,2017-08-21,208
22204,2017-08-22,208
32974,2017-08-23,210
111768,2017-08-24,210
104642,2017-08-25,210
61021,2017-08-26,211
126332,2017-08-27,211
133307,2017-08-28,211
35762,2017-08-29,211
126265,2017-08-30,211
137260,2017-08-31,211
144963,2017-09-01,211
126722,2017-09-02,211
144997,2017-09-03,211
145577,2017-09-04,213
111797,2017-09-05,212
137457,2017-09-06,212
156412,2017-09-07,212
113187,2017-09-08,212
144506,2017-09-09,212
102771,2017-09-10,212
87880,2017-09-11,212
35750,2017-09-12,211
35752,2017-09-13,211
111856,2017-09-14,211
130949,2017-09-15,211
145042,2017-09-16,211
126439,2017-09-17,211
137422,2017-09-18,211
111857,2017-09-19,211
126656,2017-09-20,211
126366,2017-09-21,211
126701,2017-09-22,211
126705,2017-09-23,211
126379,2017-09-24,211
126510,2017-09-25,211
106684,2017-09-26,211
126652,2017-09-27,211
126392,2017-09-28,211
145969,2017-09-29,211
156316,2017-09-30,211
126398,2017-10-01,211
52086,2017-10-02,213
137440,2017-10-03,213
126403,2017-10-04,213
126732,2017-10-05,213
109790,2017-10-06,213
158461,2017-10-07,213
126345,2017-10-08,213
126346,2017-10-09,213
126784,2017-10-10,212
137527,2017-10-11,212
126939,2017-10-12,212
126805,2017-10-13,212
133234,2017-10-14,212
137476,2017-10-15,212
152153,2017-10-16,212
137887,2017-10-17,212
127986,2017-10-18,212
36152,2017-10-19,212
127494,2017-10-20,213
87591,2017-10-21,213
109010,2017-10-22,213
51974,2017-10-23,213
156542,2017-10-24,213
106815,2017-10-25,213
108765,2017-10-26,213
109263,2017-10-28,211
152169,2017-10-29,211
126974,2017-10-30,211
126737,2017-10-31,211
137591,2017-11-01,211
102439,2017-11-02,211
102407,2017-11-03,211
137274,2017-11-04,211
137889,2017-11-05,211
156401,2017-11-06,211
108442,2017-11-07,211
138868,2017-11-08,211
137732,2017-11-09,211
105977,2017-11-10,212
119618,2017-11-11,212
137567,2017-11-12,212
126653,2017-11-13,212
125084,2017-11-14,213
133256,2017-11-15,213
105925,2017-11-16,214
127843,2017-11-17,214
106000,2017-11-18,214
21930,2017-11-19,214
153063,2017-11-20,214
133250,2017-11-21,214
137795,2017-11-22,213
108878,2017-11-23,213
109008,2017-11-25,213
105933,2017-11-26,213
128761,2017-11-27,216
108370,2017-11-28,216
84498,2017-11-29,216
98545,2017-11-30,216
125659,2017-12-01,205
144520,2017-12-02,206
137570,2017-12-03,206
125950,2017-12-04,206
125967,2017-12-05,191
84237,2017-12-06,188
125616,2017-12-07,189
146583,2017-12-08,189
158422,2017-12-09,189
126960,2017-12-10,188
105189,2017-12-11,188
138141,2017-12-12,192
137302,2017-12-13,193
137133,2017-12-14,193
108880,2017-12-15,193
154596,2017-12-16,193
137429,2017-12-17,193
137423,2017-12-18,194
137182,2017-12-21,194
105146,2017-12-22,194
8163,2017-12-26,195
108631,2017-12-27,195
137511,2017-12-29,195
127286,2017-12-30,194
137436,2017-12-31,194
137334,2018-01-01,194
100033,2018-01-02,193
106108,2018-01-03,199
22264,2018-01-04,201
144238,2018-01-05,203
148184,2018-01-06,203
145631,2018-01-07,203
137851,2018-01-08,204
22059,2018-01-09,227
106329,2018-01-10,234
100013,2018-01-11,236
30873,2018-01-12,237
137627,2018-01-13,238
138065,2018-01-14,238
36187,2018-01-15,243
125399,2018-01-16,255
113396,2018-01-17,268
109215,2018-01-18,315
106393,2018-01-19,317
113393,2018-01-20,317
137505,2018-01-21,318
30843,2018-01-22,320
109176,2018-01-23,339
109222,2018-01-24,346
109177,2018-01-25,347
126231,2018-01-26,347
78543,2018-01-27,347
126000,2018-01-28,347
84652,2018-01-29,348
129597,2018-01-30,357
22107,2018-01-31,342
137572,2018-02-01,348
156523,2018-02-02,350
138024,2018-02-03,350
83985,2018-02-04,350
127589,2018-02-05,350
85094,2018-02-06,367
137646,2018-02-07,375
156440,2018-02-08,376
109433,2018-02-09,376
129928,2018-02-10,376
138000,2018-02-11,376
146066,2018-02-12,376
145502,2018-02-13,379
109497,2018-02-14,378
109286,2018-02-15,378
10703,2018-02-16,379
151953,2018-02-17,379
128231,2018-02-18,379
156491,2018-02-19,380
22178,2018-02-20,380
104042,2018-02-21,381
127842,2018-02-22,381
145228,2018-02-23,382
83952,2018-02-24,382
145234,2018-02-25,382
163852,2018-02-26,382
145481,2018-02-27,382
112864,2018-02-28,381
138009,2018-03-01,381
120109,2018-03-02,382
109478,2018-03-03,382
138014,2018-03-04,382
83460,2018-03-05,382
127436,2018-03-06,390
36041,2018-03-07,391
145572,2018-03-08,391
126721,2018-03-09,391
112440,2018-03-10,389
98548,2018-03-11,389
106272,2018-03-12,372
85290,2018-03-13,376
128727,2018-03-14,361
125331,2018-03-15,372
137493,2018-03-16,355
104943,2018-03-17,355
144699,2018-03-18,355
133371,2018-03-19,351
152091,2018-03-20,353
109377,2018-03-21,354
156473,2018-03-22,354
22155,2018-03-23,355
35808,2018-03-24,355
145491,2018-03-25,356
100789,2018-03-26,361
22244,2018-03-27,353
151529,2018-03-28,358
66961,2018-03-29,358
22411,2018-03-30,358
96211,2018-03-31,358
103218,2018-04-01,358
23447,2018-04-02,352
151738,2018-04-03,352
99452,2018-04-04,353
145464,2018-04-05,353
112027,2018-04-06,353
35841,2018-04-07,353
128214,2018-04-08,353
137716,2018-04-09,354
109388,2018-04-10,357
128843,2018-04-11,367
152355,2018-04-12,370
109408,2018-04-13,370
137808,2018-04-14,373
144286,2018-04-15,373
128786,2018-04-16,373
128794,2018-04-17,372
137772,2018-04-18,372
133423,2018-04-19,371
112005,2018-04-20,374
152378,2018-04-21,374
128128,2018-04-22,375
112723,2018-04-23,381
99378,2018-04-24,383
103436,2018-04-25,383
109423,2018-04-26,383
146062,2018-04-27,383
112853,2018-04-28,383
133341,2018-04-29,384
99937,2018-04-30,384
128603,2018-05-01,385
128483,2018-05-02,394
133355,2018-05-03,400
109515,2018-05-04,402
128839,2018-05-05,405
128349,2018-05-06,409
128241,2018-05-07,414
128369,2018-05-08,420
133442,2018-05-09,425
133350,2018-05-10,425
145937,2018-05-11,426
128586,2018-05-12,427
144519,2018-05-13,427
153052,2018-05-14,426
112720,2018-05-15,430
145856,2018-05-16,432
128400,2018-05-17,431
145839,2018-05-18,431
128874,2018-05-19,431
151749,2018-05-20,431
145854,2018-05-21,431
133514,2018-05-22,432
80044,2018-05-23,432
145928,2018-05-24,436
145699,2018-05-25,438
145715,2018-05-26,439
153003,2018-05-27,439
128660,2018-05-28,439
152348,2018-05-29,439
79092,2018-05-30,439
151492,2018-05-31,441
133495,2018-06-01,438
133577,2018-06-02,439
126456,2018-06-03,439
145797,2018-06-04,439
108892,2018-06-05,442
108964,2018-06-06,442
30848,2018-06-07,444
128837,2018-06-08,445
137991,2018-06-09,445
128079,2018-06-10,445
36235,2018-06-11,447
109206,2018-06-12,456
145884,2018-06-13,456
113086,2018-06-14,456
22209,2018-06-15,457
112772,2018-06-16,457
112577,2018-06-17,457
146133,2018-06-18,458
153174,2018-06-19,458
103501,2018-06-20,458
106271,2018-06-21,457
137396,2018-06-22,451
112717,2018-06-23,451
127253,2018-06-24,450
35955,2018-06-25,450
109386,2018-06-26,450
101385,2018-06-27,448
30898,2018-06-28,447
146733,2018-06-29,446
156487,2018-06-30,446
