,ds,y
156389,2017-05-02,393
87528,2017-05-03,394
156382,2017-05-04,395
21817,2017-05-05,398
105154,2017-05-06,399
83404,2017-05-07,401
127853,2017-05-08,410
109051,2017-05-09,416
156295,2017-05-10,417
156551,2017-05-11,419
144908,2017-05-12,419
127535,2017-05-13,420
144912,2017-05-14,420
113185,2017-05-15,426
111817,2017-05-16,427
108941,2017-05-17,429
113639,2017-05-18,432
126103,2017-05-19,433
144877,2017-05-21,433
137607,2017-05-22,434
156571,2017-05-23,434
87524,2017-05-24,435
22419,2017-05-25,436
88028,2017-05-26,437
144905,2017-05-27,437
102460,2017-05-28,438
156378,2017-05-29,444
125472,2017-05-30,444
109007,2017-05-31,444
105894,2017-06-01,444
126815,2017-06-02,445
125929,2017-06-03,446
84382,2017-06-04,446
125959,2017-06-05,446
125701,2017-06-06,447
144917,2017-06-07,448
126326,2017-06-08,448
26145,2017-06-09,448
128453,2017-06-11,448
126507,2017-06-12,448
77662,2017-06-13,450
127122,2017-06-14,450
127367,2017-06-15,450
126145,2017-06-16,452
119708,2017-06-17,452
138115,2017-06-18,452
102809,2017-06-19,453
87665,2017-06-20,461
127447,2017-06-21,461
111774,2017-06-22,463
127004,2017-06-23,463
127864,2017-06-24,463
111930,2017-06-25,464
126580,2017-06-26,464
111945,2017-06-27,464
111871,2017-06-28,464
128060,2017-06-29,464
111949,2017-07-02,464
84451,2017-07-03,464
145119,2017-07-04,466
125966,2017-07-05,466
126716,2017-07-06,466
126220,2017-07-07,466
158465,2017-07-08,466
163483,2017-07-09,467
125631,2017-07-10,467
83339,2017-07-11,468
144540,2017-07-12,471
127546,2017-07-13,471
22491,2017-07-14,471
127537,2017-07-15,471
144884,2017-07-16,471
144919,2017-07-17,471
31277,2017-07-18,471
112504,2017-07-19,471
126727,2017-07-20,471
127419,2017-07-21,473
145168,2017-07-22,473
144791,2017-07-23,473
103156,2017-07-24,478
126723,2017-07-25,498
149120,2017-07-26,498
101383,2017-07-27,499
52083,2017-07-28,501
109208,2017-07-30,501
36360,2017-07-31,504
113198,2017-08-01,504
36410,2017-08-02,505
22480,2017-08-03,505
126320,2017-08-04,506
101386,2017-08-05,507
137485,2017-08-06,508
22484,2017-08-07,512
126362,2017-08-08,520
106164,2017-08-09,520
105917,2017-08-10,521
21840,2017-08-11,526
22759,2017-08-12,526
145005,2017-08-13,526
103633,2017-08-14,526
125099,2017-08-15,526
127789,2017-08-16,526
158862,2017-08-17,526
125343,2017-08-18,528
151319,2017-08-19,528
119081,2017-08-20,528
103881,2017-08-21,528
22204,2017-08-22,528
32974,2017-08-23,529
111768,2017-08-24,529
104642,2017-08-25,530
61021,2017-08-26,530
126332,2017-08-27,530
133307,2017-08-28,530
35762,2017-08-29,530
126265,2017-08-30,530
137260,2017-08-31,530
144963,2017-09-01,530
126722,2017-09-02,531
144997,2017-09-03,531
145577,2017-09-04,531
111797,2017-09-05,531
137457,2017-09-06,532
156412,2017-09-07,532
113187,2017-09-08,532
144506,2017-09-09,533
102771,2017-09-10,534
87880,2017-09-11,534
35750,2017-09-12,543
35752,2017-09-13,544
111856,2017-09-14,544
130949,2017-09-15,545
145042,2017-09-16,545
126439,2017-09-17,545
137422,2017-09-18,545
111857,2017-09-19,547
126656,2017-09-20,547
126366,2017-09-21,547
126701,2017-09-22,548
126705,2017-09-23,548
126379,2017-09-24,548
126510,2017-09-25,549
106684,2017-09-26,554
126652,2017-09-27,554
126392,2017-09-28,554
145969,2017-09-29,554
156316,2017-09-30,554
126398,2017-10-01,554
52086,2017-10-02,554
137440,2017-10-03,554
126403,2017-10-04,554
126732,2017-10-05,554
109790,2017-10-06,554
158461,2017-10-07,554
126345,2017-10-08,554
126346,2017-10-09,554
126784,2017-10-10,556
137527,2017-10-11,558
126939,2017-10-12,558
126805,2017-10-13,558
133234,2017-10-14,558
137476,2017-10-15,558
152153,2017-10-16,558
137887,2017-10-17,559
127986,2017-10-18,559
36152,2017-10-19,559
127494,2017-10-20,559
87591,2017-10-21,559
109010,2017-10-22,559
51974,2017-10-23,559
156542,2017-10-24,559
106815,2017-10-25,560
108765,2017-10-26,560
109263,2017-10-28,560
152169,2017-10-29,560
126974,2017-10-30,560
126737,2017-10-31,560
137591,2017-11-01,560
102439,2017-11-02,562
102407,2017-11-03,563
137274,2017-11-04,563
137889,2017-11-05,565
156401,2017-11-06,565
108442,2017-11-07,565
138868,2017-11-08,565
137732,2017-11-09,565
105977,2017-11-10,564
119618,2017-11-11,564
137567,2017-11-12,564
126653,2017-11-13,564
125084,2017-11-14,565
133256,2017-11-15,573
105925,2017-11-16,576
127843,2017-11-17,550
106000,2017-11-18,551
21930,2017-11-19,554
153063,2017-11-20,558
133250,2017-11-21,565
137795,2017-11-22,570
108878,2017-11-23,569
109008,2017-11-25,568
105933,2017-11-26,568
128761,2017-11-27,590
108370,2017-11-28,597
84498,2017-11-29,597
98545,2017-11-30,597
125659,2017-12-01,588
144520,2017-12-02,589
137570,2017-12-03,589
125950,2017-12-04,590
125967,2017-12-05,590
84237,2017-12-06,590
125616,2017-12-07,590
146583,2017-12-08,590
158422,2017-12-09,590
126960,2017-12-10,590
105189,2017-12-11,590
138141,2017-12-12,590
137302,2017-12-13,590
137133,2017-12-14,590
108880,2017-12-15,590
154596,2017-12-16,590
137429,2017-12-17,590
137423,2017-12-18,590
137182,2017-12-21,590
105146,2017-12-22,591
8163,2017-12-26,591
108631,2017-12-27,590
137511,2017-12-29,590
127286,2017-12-30,590
137436,2017-12-31,590
137334,2018-01-01,592
100033,2018-01-02,607
106108,2018-01-03,613
22264,2018-01-04,616
144238,2018-01-05,617
148184,2018-01-06,617
145631,2018-01-07,617
137851,2018-01-08,625
22059,2018-01-09,662
106329,2018-01-10,684
100013,2018-01-11,686
30873,2018-01-12,687
137627,2018-01-13,689
138065,2018-01-14,689
36187,2018-01-15,696
125399,2018-01-16,708
113396,2018-01-17,720
109215,2018-01-18,737
106393,2018-01-19,742
113393,2018-01-20,745
137505,2018-01-21,750
30843,2018-01-22,758
109176,2018-01-23,723
109222,2018-01-24,726
109177,2018-01-25,727
126231,2018-01-26,729
78543,2018-01-27,730
126000,2018-01-28,732
84652,2018-01-29,734
129597,2018-01-30,749
22107,2018-01-31,761
137572,2018-02-01,779
156523,2018-02-02,805
138024,2018-02-03,819
83985,2018-02-04,821
127589,2018-02-05,828
85094,2018-02-06,857
137646,2018-02-07,864
156440,2018-02-08,868
109433,2018-02-09,872
129928,2018-02-10,875
138000,2018-02-11,875
146066,2018-02-12,876
145502,2018-02-13,880
109497,2018-02-14,880
109286,2018-02-15,882
10703,2018-02-16,887
151953,2018-02-17,888
128231,2018-02-18,888
156491,2018-02-19,889
22178,2018-02-20,897
104042,2018-02-21,901
127842,2018-02-22,905
145228,2018-02-23,906
83952,2018-02-24,906
145234,2018-02-25,907
163852,2018-02-26,912
145481,2018-02-27,916
112864,2018-02-28,917
138009,2018-03-01,929
120109,2018-03-02,935
109478,2018-03-03,942
138014,2018-03-04,948
83460,2018-03-05,956
127436,2018-03-06,965
36041,2018-03-07,970
145572,2018-03-08,974
126721,2018-03-09,976
112440,2018-03-10,978
98548,2018-03-11,978
106272,2018-03-12,978
85290,2018-03-13,983
128727,2018-03-14,983
125331,2018-03-15,952
137493,2018-03-16,946
104943,2018-03-17,946
144699,2018-03-18,946
133371,2018-03-19,946
152091,2018-03-20,947
109377,2018-03-21,950
156473,2018-03-22,951
22155,2018-03-23,953
35808,2018-03-24,957
145491,2018-03-25,958
100789,2018-03-26,958
22244,2018-03-27,959
151529,2018-03-28,959
66961,2018-03-29,960
22411,2018-03-30,961
96211,2018-03-31,961
103218,2018-04-01,961
23447,2018-04-02,722
151738,2018-04-03,726
99452,2018-04-04,728
145464,2018-04-05,733
112027,2018-04-06,738
35841,2018-04-07,739
128214,2018-04-08,739
137716,2018-04-09,739
109388,2018-04-10,744
128843,2018-04-11,768
152355,2018-04-12,774
109408,2018-04-13,780
137808,2018-04-14,782
144286,2018-04-15,782
128786,2018-04-16,763
128794,2018-04-17,772
137772,2018-04-18,763
133423,2018-04-19,769
112005,2018-04-20,776
152378,2018-04-21,778
128128,2018-04-22,779
112723,2018-04-23,781
99378,2018-04-24,782
103436,2018-04-25,767
109423,2018-04-26,759
146062,2018-04-27,765
112853,2018-04-28,765
133341,2018-04-29,765
