,ds,y
2584,2019-02-21,906
4596,2019-02-23,907
4594,2019-02-24,907
3976,2019-02-25,900
5945,2019-02-26,902
6016,2019-02-27,893
2084,2019-02-28,884
5931,2019-03-01,880
658,2019-03-03,877
893,2019-03-04,872
6372,2019-03-05,870
2250,2019-03-06,868
868,2019-03-07,861
1626,2019-03-09,857
4603,2019-03-10,856
5911,2019-03-11,853
5630,2019-03-12,854
2684,2019-03-13,850
5891,2019-03-14,846
4865,2019-03-17,844
5627,2019-03-18,844
5018,2019-03-19,843
870,2019-03-20,845
2262,2019-03-21,847
2276,2019-03-22,848
2270,2019-03-24,849
6367,2019-03-25,855
3409,2019-03-26,855
144,2019-03-27,852
6113,2019-03-28,846
4985,2019-03-29,842
2274,2019-03-30,843
1866,2019-03-31,842
3227,2019-04-01,838
331,2019-04-02,830
3399,2019-04-03,789
4363,2019-04-04,792
2434,2019-04-06,791
897,2019-04-07,791
3323,2019-04-08,789
3283,2019-04-09,786
3362,2019-04-10,785
4282,2019-04-11,786
1127,2019-04-14,786
5191,2019-04-15,784
2428,2019-04-16,780
4037,2019-04-17,782
3027,2019-04-21,779
6130,2019-04-22,778
4653,2019-04-23,784
3014,2019-04-24,784
2589,2019-04-25,786
4463,2019-04-28,782
1846,2019-04-29,778
6203,2019-04-30,773
4166,2019-05-01,770
2987,2019-05-02,767
3802,2019-05-03,764
3803,2019-05-04,764
4167,2019-05-05,764
4658,2019-05-06,761
1477,2019-05-07,762
2936,2019-05-08,762
2692,2019-05-09,761
1863,2019-05-10,760
3175,2019-05-12,758
6143,2019-05-13,753
2898,2019-05-14,752
2086,2019-05-15,751
3187,2019-05-16,748
3797,2019-05-19,745
2277,2019-05-20,747
3220,2019-05-21,751
4151,2019-05-22,752
3215,2019-05-23,751
379,2019-05-26,748
6561,2019-05-27,748
3798,2019-05-28,746
6562,2019-05-29,742
1882,2019-05-30,737
4283,2019-05-31,734
6084,2019-06-01,733
5327,2019-06-02,733
6201,2019-06-03,728
4368,2019-06-04,729
2902,2019-06-05,730
6114,2019-06-06,730
681,2019-06-09,731
1492,2019-06-10,735
6551,2019-06-11,738
3064,2019-06-12,738
882,2019-06-13,741
4390,2019-06-17,740
2760,2019-06-18,738
2904,2019-06-19,738
3313,2019-06-20,738
3411,2019-06-22,738
529,2019-06-23,737
110,2019-06-24,732
6128,2019-06-25,726
2006,2019-06-26,726
1311,2019-06-27,724
1885,2019-06-29,695
6150,2019-06-30,694
132,2019-07-01,681
5549,2019-07-02,677
4227,2019-07-04,675
6531,2019-07-07,672
6542,2019-07-08,671
3029,2019-07-09,668
4587,2019-07-10,669
519,2019-07-11,672
108,2019-07-14,665
6343,2019-07-15,658
2007,2019-07-16,658
6558,2019-07-17,658
1299,2019-07-18,657
2271,2019-07-21,656
1278,2019-07-23,651
1277,2019-07-24,650
4136,2019-07-25,647
3854,2019-07-28,647
2665,2019-07-29,647
2672,2019-07-30,638
3412,2019-07-31,627
6524,2019-08-01,624
6040,2019-08-02,619
3235,2019-08-04,618
6366,2019-08-05,613
896,2019-08-06,613
1504,2019-08-07,611
6413,2019-08-08,607
368,2019-08-09,606
3862,2019-08-11,606
5013,2019-08-12,597
538,2019-08-13,593
599,2019-08-14,589
581,2019-08-15,580
1386,2019-08-18,577
5723,2019-08-19,577
3620,2019-08-20,567
380,2019-08-21,565
2655,2019-08-22,563
683,2019-08-25,554
2325,2019-08-26,554
385,2019-08-27,554
4578,2019-08-29,553
4606,2019-09-01,549
5737,2019-09-02,546
3033,2019-09-03,548
1551,2019-09-04,546
2542,2019-09-05,545
894,2019-09-08,545
6564,2019-09-09,546
386,2019-09-10,546
4162,2019-09-11,544
2597,2019-09-14,542
2471,2019-09-15,543
4160,2019-09-16,544
3135,2019-09-17,543
3243,2019-09-25,544
1397,2019-09-26,548
3922,2019-09-27,547
3242,2019-09-29,548
3534,2019-09-30,549
3250,2019-10-01,560
5890,2019-10-02,562
1093,2019-10-03,562
4499,2019-10-04,561
4678,2019-10-06,562
5629,2019-10-07,559
4554,2019-10-08,556
3926,2019-10-09,556
277,2019-10-10,556
4279,2019-10-13,555
4679,2019-10-15,553
6553,2019-10-19,558
2249,2019-10-20,557
1939,2019-10-21,558
2449,2019-10-22,560
2436,2019-10-23,563
1946,2019-10-24,566
456,2019-10-27,566
3666,2019-10-28,567
3663,2019-10-29,570
4389,2019-10-30,567
2440,2019-10-31,566
4368,2019-11-03,563
2093,2019-11-04,565
2358,2019-11-05,565
3855,2019-11-06,565
4492,2019-11-07,568
4501,2019-11-09,568
2010,2019-11-10,568
2008,2019-11-11,566
2089,2019-11-12,566
4001,2019-11-13,566
4003,2019-11-14,566
3815,2019-11-15,574
3833,2019-11-16,575
689,2019-11-17,576
489,2019-11-18,579
4006,2019-11-19,581
2699,2019-11-20,581
5154,2019-11-21,581
4670,2019-11-22,580
4764,2019-11-24,581
2468,2019-11-25,582
3868,2019-11-26,583
4009,2019-11-27,584
700,2019-11-28,586
701,2019-12-01,586
4006,2019-12-02,586
4080,2019-12-03,586
51,2019-12-04,585
1927,2019-12-05,587
5893,2019-12-08,586
54,2019-12-09,587
3839,2019-12-12,587
1718,2019-12-15,587
1533,2019-12-22,586
1517,2019-12-30,585
1629,2019-12-31,583
183,2020-01-02,576
2279,2020-01-05,576
3226,2020-01-06,573
1322,2020-01-07,571
55,2020-01-08,572
459,2020-01-09,573
2282,2020-01-12,571
279,2020-01-13,572
4881,2020-01-14,570
2542,2020-01-15,549
284,2020-01-16,552
285,2020-01-19,552
281,2020-01-20,550
208,2020-01-21,549
4373,2020-01-22,552
1,2020-01-23,552
881,2020-01-26,551
5633,2020-01-27,551
3033,2020-01-28,551
280,2020-01-29,552
381,2020-01-30,550
3675,2020-01-31,546
386,2020-02-01,546
5895,2020-02-02,545
4254,2020-02-03,539
3238,2020-02-04,529
3665,2020-02-05,519
2283,2020-02-06,519
2765,2020-02-09,519
6013,2020-02-10,517
1948,2020-02-12,517
