,ds,y
5843,2018-09-29,14
3979,2018-09-30,14
4263,2018-10-01,14
6387,2018-10-02,14
3618,2018-10-03,14
2953,2018-10-04,14
1268,2018-10-05,14
5562,2018-10-06,14
4144,2018-10-07,14
656,2018-10-08,14
6488,2018-10-09,14
994,2018-10-10,14
1135,2018-10-11,14
1287,2018-10-12,14
6023,2018-10-13,14
878,2018-10-14,14
5464,2018-10-15,14
3017,2018-10-16,14
1129,2018-10-17,14
368,2018-10-18,14
506,2018-10-19,14
3056,2018-10-20,14
3021,2018-10-21,14
3233,2018-10-22,14
6044,2018-10-23,14
5567,2018-10-24,14
1064,2018-10-25,14
6047,2018-10-26,14
1823,2018-10-27,14
4151,2018-10-28,14
1997,2018-10-29,14
6484,2018-10-30,14
4993,2018-10-31,14
4979,2018-11-01,14
5845,2018-11-02,14
5573,2018-11-03,14
6391,2018-11-04,14
2882,2018-11-05,14
546,2018-11-06,14
4586,2018-11-07,14
1521,2018-11-08,14
3040,2018-11-09,14
6347,2018-11-10,14
5077,2018-11-11,14
6404,2018-11-12,14
5083,2018-11-13,14
2893,2018-11-14,14
3106,2018-11-15,14
5379,2018-11-18,14
1274,2018-11-19,14
6414,2018-11-20,14
1282,2018-11-21,14
6334,2018-11-22,14
4358,2018-11-25,14
6532,2018-11-26,14
3027,2018-11-27,14
2082,2018-11-28,14
5870,2018-11-29,14
5535,2018-11-30,14
2705,2018-12-02,14
2969,2018-12-03,14
6416,2018-12-04,14
2564,2018-12-05,14
6167,2018-12-06,14
5847,2018-12-07,14
5615,2018-12-08,14
5453,2018-12-09,14
1620,2018-12-10,14
5373,2018-12-11,14
1019,2018-12-12,14
6491,2018-12-13,14
1015,2018-12-14,14
1050,2018-12-16,14
5659,2018-12-17,14
3044,2018-12-19,14
5886,2018-12-20,14
5406,2018-12-22,14
6374,2018-12-23,14
5653,2018-12-24,14
1825,2018-12-25,14
1934,2018-12-26,14
1246,2018-12-27,14
1826,2018-12-28,14
1252,2018-12-29,14
6427,2018-12-30,14
1247,2018-12-31,14
5516,2019-01-02,14
