,ds,y
144919,2017-07-17,1324
31277,2017-07-18,1326
112504,2017-07-19,1328
126727,2017-07-20,1332
127419,2017-07-21,1337
145168,2017-07-22,1338
144791,2017-07-23,1339
103156,2017-07-24,1350
126723,2017-07-25,1357
149120,2017-07-26,1358
101383,2017-07-27,1362
52083,2017-07-28,1364
109208,2017-07-30,1366
36360,2017-07-31,1367
113198,2017-08-01,1376
36410,2017-08-02,1377
22480,2017-08-03,1379
126320,2017-08-04,1382
101386,2017-08-05,1383
137485,2017-08-06,1383
22484,2017-08-07,1409
126362,2017-08-08,1429
106164,2017-08-09,1437
105917,2017-08-10,1439
21840,2017-08-11,1442
22759,2017-08-12,1443
145005,2017-08-13,1445
103633,2017-08-14,1446
125099,2017-08-15,1450
127789,2017-08-16,1459
158862,2017-08-17,1462
125343,2017-08-18,1464
151319,2017-08-19,1464
119081,2017-08-20,1464
103881,2017-08-21,1465
22204,2017-08-22,1474
32974,2017-08-23,1476
111768,2017-08-24,1476
104642,2017-08-25,1477
61021,2017-08-26,1477
126332,2017-08-27,1478
133307,2017-08-28,1479
35762,2017-08-29,1479
126265,2017-08-30,1481
137260,2017-08-31,1480
144963,2017-09-01,1482
126722,2017-09-02,1488
144997,2017-09-03,1489
145577,2017-09-04,1492
111797,2017-09-05,1496
137457,2017-09-06,1499
156412,2017-09-07,1501
113187,2017-09-08,1503
144506,2017-09-09,1504
102771,2017-09-10,1504
87880,2017-09-11,1510
35750,2017-09-12,1516
35752,2017-09-13,1518
111856,2017-09-14,1520
130949,2017-09-15,1521
145042,2017-09-16,1524
126439,2017-09-17,1526
137422,2017-09-18,1540
111857,2017-09-19,1544
126656,2017-09-20,1549
126366,2017-09-21,1557
126701,2017-09-22,1547
126705,2017-09-23,1548
126379,2017-09-24,1550
126510,2017-09-25,1560
106684,2017-09-26,1572
126652,2017-09-27,1577
126392,2017-09-28,1583
145969,2017-09-29,1586
156316,2017-09-30,1586
126398,2017-10-01,1587
52086,2017-10-02,1589
137440,2017-10-03,1591
126403,2017-10-04,1598
126732,2017-10-05,1602
109790,2017-10-06,1608
158461,2017-10-07,1609
126345,2017-10-08,1614
126346,2017-10-09,1624
126784,2017-10-10,1633
137527,2017-10-11,1643
126939,2017-10-12,1652
126805,2017-10-13,1654
133234,2017-10-14,1655
137476,2017-10-15,1657
152153,2017-10-16,1658
137887,2017-10-17,1664
127986,2017-10-18,1671
36152,2017-10-19,1672
127494,2017-10-20,1677
87591,2017-10-21,1678
109010,2017-10-22,1677
51974,2017-10-23,1678
156542,2017-10-24,1680
106815,2017-10-25,1681
108765,2017-10-26,1680
109263,2017-10-28,1666
152169,2017-10-29,1667
126974,2017-10-30,1664
126737,2017-10-31,1667
137591,2017-11-01,1668
102439,2017-11-02,1670
102407,2017-11-03,1671
137274,2017-11-04,1671
137889,2017-11-05,1671
156401,2017-11-06,1674
108442,2017-11-07,1679
138868,2017-11-08,1676
137732,2017-11-09,1677
105977,2017-11-10,1686
119618,2017-11-11,1690
137567,2017-11-12,1691
126653,2017-11-13,1695
125084,2017-11-14,1700
133256,2017-11-15,1701
105925,2017-11-16,1705
127843,2017-11-17,1685
106000,2017-11-18,1686
21930,2017-11-19,1686
153063,2017-11-20,1684
133250,2017-11-21,1687
137795,2017-11-22,1690
108878,2017-11-23,1689
109008,2017-11-25,1686
105933,2017-11-26,1686
128761,2017-11-27,1693
108370,2017-11-28,1640
84498,2017-11-29,1630
98545,2017-11-30,1627
125659,2017-12-01,1579
144520,2017-12-02,1576
137570,2017-12-03,1577
125950,2017-12-04,1577
125967,2017-12-05,1561
84237,2017-12-06,1553
125616,2017-12-07,1547
146583,2017-12-08,1546
158422,2017-12-09,1538
126960,2017-12-10,1539
105189,2017-12-11,1547
138141,2017-12-12,1548
137302,2017-12-13,1549
137133,2017-12-14,1548
108880,2017-12-15,1478
154596,2017-12-16,1478
137429,2017-12-17,1479
137423,2017-12-18,1482
137182,2017-12-21,1483
