Year,Quarter,Month,Day,Daymother - FBProphet,Daymother - SS Targets,Sum of Daymother
,,,,,4941723,77975790.3395054
2028,Qtr 1,March,16,126763.02869841,185123,128041.4727683824
2028,Qtr 1,March,17,126816.4574472249,185417,128094.98162788
2028,Qtr 1,March,18,126863.3656569572,185620,128142.4472705737
2028,Qtr 1,March,19,126900.9021231879,185957,128179.9750511585
2028,Qtr 1,March,20,126940.6115456985,186001,128220.5519714158
2028,Qtr 1,March,21,127012.6052846757,186169,128292.69663526
2028,Qtr 1,March,22,127064.6680006552,186552,128345.3048413184
2028,Qtr 1,March,23,127114.1392720505,186642,128395.4020159724
2028,Qtr 1,March,24,127165.1797348114,187162,128446.4890471633
2028,Qtr 1,March,25,127209.905696632,187303,128491.7404252403
2028,Qtr 1,March,26,127245.4974297277,187766,128527.2935341983
2028,Qtr 1,March,27,127283.5241970609,188306,128566.1603935037
2028,Qtr 1,March,28,127354.1144201324,188377,128636.8770134921
2028,Qtr 1,March,29,127405.061964743,188500,128688.3486272871
2028,Qtr 1,March,30,127453.7076468544,188721,128737.6020105201
2028,Qtr 1,March,31,127504.2055039131,188817,128788.1314498538
2028,Qtr 2,April,1,127548.6577774078,188897,128833.0972596605
2028,Qtr 2,April,2,127584.2237968236,189046,128868.6156759027
2028,Qtr 2,April,3,127622.4457992522,189312,128907.671406218
2028,Qtr 2,April,4,127693.4200660837,189447,128978.7679718046
2028,Qtr 2,April,5,127744.904321261,189626,129030.7740713564
2028,Qtr 2,April,6,127794.2004571046,190367,129080.67714136
2028,Qtr 2,April,7,127845.4220938805,190598,129131.9306337068
2028,Qtr 2,April,8,127890.6308778745,191129,129177.6538680979
2028,Qtr 2,April,9,127926.9466665852,191174,129213.9232459191
2028,Qtr 2,April,10,127965.8745945228,191182,129253.6860630587
2028,Qtr 2,April,11,128037.4773623017,191362,129325.4120178708
2028,Qtr 2,April,12,128089.4836580304,191798,129377.9406085122
2028,Qtr 2,April,13,128139.1717458828,191864,129428.2355624459
2028,Qtr 2,April,14,128190.6377022187,192225,129479.7327930105
2028,Qtr 2,April,15,128235.9321843328,192270,129525.5407207688
2028,Qtr 2,April,16,128272.1708674725,192275,129561.7317334256
2028,Qtr 2,April,17,128310.8615377472,192733,129601.2560161689
2028,Qtr 2,April,18,128382.0761850162,193217,129672.5928504408
2028,Qtr 2,April,19,128433.5590133595,193263,129724.5975845092
2028,Qtr 2,April,20,128482.6094195137,193542,129774.2554347951
2028,Qtr 2,April,21,128533.3494415289,193647,129825.0286355048
2028,Qtr 2,April,22,128577.8595902777,193745,129870.0558026566
2028,Qtr 2,April,23,128613.2882317721,193748,129905.4423194804
2028,Qtr 2,April,24,128651.1775439425,193855,129944.173011942
2028,Qtr 2,April,25,128721.6344305343,194051,130014.7622518167
2028,Qtr 2,April,26,128772.4373495777,194160,130066.0997313175
2028,Qtr 2,April,27,128820.91814665,194262,130115.2031087639
2028,Qtr 2,April,28,128871.2284337022,194545,130165.564081936
2028,Qtr 2,April,29,128915.4744620179,194642,130210.3467915717
2028,Qtr 2,April,30,128950.8256894334,194693,130245.6773944311
2028,Qtr 2,May,1,128988.8400928114,195005,130284.5561021171
2028,Qtr 2,May,2,129059.6346300206,195359,130355.5068445805
2028,Qtr 2,May,3,129110.9918239904,195591,130407.4228171613
2028,Qtr 2,May,4,129160.2415671671,195972,130457.3191183002
2028,Qtr 2,May,5,129211.5276879407,196338,130508.6790347408
2028,Qtr 2,May,6,129256.9432210238,196378,130554.652869317
2028,Qtr 2,May,7,129293.6395681172,196567,130591.3481360515
2028,Qtr 2,May,8,129333.15257925,197327,130631.7423971425
2028,Qtr 2,May,9,129405.5739322645,197332,130704.3338729138
2028,Qtr 2,May,10,129458.6587508877,197356,130757.9880503439
2028,Qtr 2,May,11,129509.7085232568,,
2028,Qtr 2,May,12,129562.838822843,197917,130862.8991357529
2028,Qtr 2,May,13,129610.1157322441,198096,130910.7346151673
2028,Qtr 2,May,14,129648.6661141356,198736,130949.2812535749
2028,Qtr 2,May,15,129690.0047185801,198965,130991.4960933276
2028,Qtr 2,May,16,129764.2064652121,199087,131065.8613745348
2028,Qtr 2,May,17,129819.0148053345,199454,131121.2318789347
2028,Qtr 2,May,18,129871.7251951797,199499,131174.5892455092
2028,Qtr 2,May,19,129926.4531575299,199636,131229.389749359
2028,Qtr 2,May,20,129975.2708142062,199816,131278.7643788592
2028,Qtr 2,May,21,130015.3170232606,199823,131318.8099830605
2028,Qtr 2,May,22,130058.1241076004,199964,131362.5027203759
2028,Qtr 2,May,23,130133.7895193141,200645,131438.3489069272
2028,Qtr 2,May,24,130190.0833587046,200738,131495.23146961
2028,Qtr 2,May,25,130244.3308011645,200828,131550.1631659745
2028,Qtr 2,May,26,130300.6789383753,200878,131606.6330931797
2028,Qtr 2,May,27,130351.2319522349,200900,131657.8053584592
2028,Qtr 2,May,28,130393.1597968589,200935,131699.8087261154
2028,Qtr 2,May,29,130438.0234213161,201402,131745.6485195219
2028,Qtr 2,May,30,130515.9449263683,201446,131823.8559269463
2028,Qtr 2,May,31,130574.7136248041,201530,131883.3329681466
2028,Qtr 2,June,1,130631.6671091308,201535,131941.1043356091
2028,Qtr 2,June,2,130690.9568821786,201617,132000.6626826958
2028,Qtr 2,June,3,130744.6825149827,201773,132055.1662777906
2028,Qtr 2,June,4,130789.9995486254,202001,132100.7278812172
2028,Qtr 2,June,5,130838.4442080235,202295,132150.3261588642
2028,Qtr 2,June,6,130920.1033490032,202368,132232.4548092195
2028,Qtr 2,June,7,130982.7206280345,202489,132295.9676800656
2028,Qtr 2,June,8,131043.5780090634,202509,132357.8310985866
2028,Qtr 2,June,9,131106.7621640171,202715,132421.4699870963
2028,Qtr 2,June,10,131164.2997224293,202918,132479.9666732149
2028,Qtr 2,June,11,131213.2665680409,202920,132529.351230864
2028,Qtr 2,June,12,131265.1142219273,203124,132582.5146358097
2028,Qtr 2,June,13,131349.8416960626,203605,132667.8598731136
2028,Qtr 2,June,14,131415.1037611471,203772,132734.1492251844
2028,Qtr 2,June,15,131478.0946906173,203797,132798.2589096202
2028,Qtr 2,June,16,131542.8169792786,204423,132863.5275788862
2028,Qtr 2,June,17,131601.2189298316,204861,132922.9575265397
2028,Qtr 2,June,18,131650.3062406177,205163,132972.5073700306
2028,Qtr 2,June,19,131701.4705690677,205853,133025.0074271341
2028,Qtr 2,June,20,131784.6633910144,206078,133108.8128582517
2028,Qtr 2,June,21,131847.5060391086,206087,133172.6527416134
2028,Qtr 2,June,22,131907.1749266293,206186,133233.3861941906
2028,Qtr 2,June,23,131967.6714061484,206276,133294.35200099
2028,Qtr 2,June,24,132020.9601154963,206337,133348.5705565946
2028,Qtr 2,June,25,132064.0809130126,206381,133392.0368580053
2028,Qtr 2,June,26,132108.4773557712,206487,133437.635745784
2028,Qtr 2,June,27,132184.1700314723,206531,133513.794457382
2028,Qtr 2,June,28,132238.865629584,206992,133569.3306634811
2028,Qtr 2,June,29,132289.8407723256,,
2028,Qtr 2,June,30,132341.2100810283,,
2028,Qtr 3,July,1,132385.0623676551,207637,133717.4956289117
2028,Qtr 3,July,2,132418.5701012186,207645,133751.1868781188
2028,Qtr 3,July,3,132453.3151598114,207730,133786.9796088574
2028,Qtr 3,July,4,132519.4592438299,207749,133853.4452151364
2028,Qtr 3,July,5,132564.8499070571,207760,133899.5449384173
2028,Qtr 3,July,6,132606.9013016381,207882,133942.38135627
2028,Qtr 3,July,7,132649.8591902757,207895,133985.5430157985
2028,Qtr 3,July,8,132685.9341935044,207916,134022.3011352377
2028,Qtr 3,July,9,132712.4084980116,,
2028,Qtr 3,July,10,132740.9591090304,208075,134078.4530682695
2028,Qtr 3,July,11,132801.8260887656,208081,134139.6179294252
2028,Qtr 3,July,12,132842.9167961131,208104,134181.4118439493
2028,Qtr 3,July,13,132881.6852728539,208132,134220.9756952453
2028,Qtr 3,July,14,132922.3963679317,208159,134261.9150170388
2028,Qtr 3,July,15,132957.258593952,208217,134297.4963600336
2028,Qtr 3,July,16,132983.5309553384,208218,134323.9351176577
2028,Qtr 3,July,17,133012.8468313575,208263,134354.3061393686
2028,Qtr 3,July,18,133075.383342765,208428,134417.1923146796
2028,Qtr 3,July,19,133118.9671909979,208440,134461.5294025344
2028,Qtr 3,July,20,133160.9560762343,208498,134504.3583202878
2028,Qtr 3,July,21,133205.5052355296,208501,134549.1714476112
2028,Qtr 3,July,22,133244.7030344922,208523,134589.1118305301
2028,Qtr 3,July,23,133275.6807825807,208588,134620.2640924963
2028,Qtr 3,July,24,133309.9397790023,208590,134655.5683019559
2028,Qtr 3,July,25,133377.5239368873,208596,134723.4718958789
2028,Qtr 3,July,26,133426.1288908902,208612,134772.7778477139
2028,Qtr 3,July,27,133472.9866103192,208666,134820.4002077208
2028,Qtr 3,July,28,133522.1349765872,208791,134869.7134868605
2028,Qtr 3,July,29,133565.5561800755,208895,134913.754689772
2028,Qtr 3,July,30,133600.2890342623,208909,134948.5167306614
2028,Qtr 3,July,31,133637.7581499841,,
2028,Qtr 3,August,1,133707.9482632337,209001,135057.1880469986
2028,Qtr 3,August,2,133758.5145787016,209075,135108.2527651236
2028,Qtr 3,August,3,133806.6681207051,209245,135156.9547774544
2028,Qtr 3,August,4,133856.4455331608,209255,135206.670879356
2028,Qtr 3,August,5,133899.8471803287,209262,135250.4601015645
2028,Qtr 3,August,6,133933.9486566924,209267,135284.3562207852
2028,Qtr 3,August,7,133970.228672918,209334,135321.28234667
2028,Qtr 3,August,8,134038.7416482846,209366,135389.7026704447
2028,Qtr 3,August,9,134087.2259206676,209417,135438.4695733299
2028,Qtr 3,August,10,134132.9866251291,209571,135484.5772559792
2028,Qtr 3,August,11,134180.1627510872,209652,135531.5084160543
2028,Qtr 3,August,12,134220.8623051361,209828,135572.4328565348
2028,Qtr 3,August,13,134252.2707681704,209830,135603.4968546563
2028,Qtr 3,August,14,134285.9758967995,209871,135637.7345888906
2028,Qtr 3,August,15,134352.1372829547,209896,135703.7167949957
2028,Qtr 3,August,16,134398.5916644611,209907,135750.394932807
2028,Qtr 3,August,17,134442.733115271,210021,135794.8521039975
2028,Qtr 3,August,18,134488.7776968069,210029,135840.6473202581
2028,Qtr 3,August,19,134528.8965608505,210083,135881.0120681715
2028,Qtr 3,August,20,134560.3227461797,210093,135912.138053981
2028,Qtr 3,August,21,134594.6747612358,210335,135947.0874671655
2028,Qtr 3,August,22,134662.1253966425,210370,136014.4409624362
2028,Qtr 3,August,23,134710.5067771299,210436,136063.1416567698
2028,Qtr 3,August,24,134757.1907847909,210440,136110.2463826403
2028,Qtr 3,August,25,134806.3544247813,210452,136159.2707838662
2028,Qtr 3,August,26,134850.1141003422,210461,136203.3871737663
2028,Qtr 3,August,27,134885.6340032963,210466,136238.713999501
2028,Qtr 3,August,28,134924.4516648169,210588,136278.2282005956
2028,Qtr 3,August,29,134996.6490527672,210652,136350.415600239
2028,Qtr 3,August,30,135049.9601592472,210764,136404.1175565878
2028,Qtr 3,August,31,135101.6541378618,210814,136456.2850394803
2028,Qtr 3,September,1,135155.8034849659,210853,136510.3266390006
2028,Qtr 3,September,2,135204.4211526502,210866,136559.3093436511
2028,Qtr 3,September,3,135244.5717204675,210902,136599.250850431
2028,Qtr 3,September,4,135287.6995937404,210984,136643.0346158852
2028,Qtr 3,September,5,135363.802542123,211050,136719.062712638
2028,Qtr 3,September,6,135420.5414557883,211173,136776.1046514754
2028,Qtr 3,September,7,135475.1253206697,211181,136831.053275989
2028,Qtr 3,September,8,135531.5808586946,211199,136887.2741881984
2028,Qtr 3,September,9,135581.8906835313,211208,136937.8075065579
